Entity,Year,tourism_share_gdp,in_tour_arrivals_ovn_vis_tourists,business_personal_ratio,dom_tour_accom_hotels_and_similar_estab_guests,in_tour_accom_hotels_and_similar_estab_guests
Mexico,2019,8.611684,45024000.0,0.043833476,62205000.0,22614000.0
Mexico,2020,6.7661247,24824000.0,0.020949915,28450000.0,9556000.0
Mexico,2021,7.6244426,31860000.0,0.01833361,45706000.0,15288000.0
Morocco,2009,7.0728474,8341000.0,0.05823395,1702000.0,3669000.0
Morocco,2010,7.3190746,9288000.0,0.044651896,1858000.0,4078000.0
Morocco,2011,7.067469,9342000.0,0.028514808,2061000.0,3456000.0
Morocco,2013,6.837032,10046000.0,0.052288678,2401000.0,4026000.0
Morocco,2014,6.6903615,10283000.0,0.052960873,2405000.0,4219000.0
Morocco,2015,6.443646,10177000.0,0.07960621,2650000.0,3676000.0
Morocco,2016,6.598311,10332000.0,0.07784594,2936000.0,3692000.0
Morocco,2017,6.8100595,11349000.0,0.12520076,3121000.0,4634000.0
Morocco,2018,6.933536,12289000.0,0.123031795,3247000.0,5359000.0
Morocco,2019,7.063461,12932000.0,0.12303417,3550000.0,5606000.0
Mozambique,2015,5.22,1552000.0,0.13236313,257000.0,256000.0
Mozambique,2017,4.33,1447000.0,0.12035529,197000.0,177000.0
Mozambique,2018,4.65,2743000.0,0.120354466,197000.0,213000.0
Mozambique,2019,4.7,2019000.0,0.110570885,219000.0,229000.0
Mozambique,2020,2.74,952000.0,0.1269692,155000.0,100000.0
Mozambique,2021,2.75,492000.0,0.10358005,159000.0,98000.0
Norway,2008,3.3,4347000.0,0.35336238,8348000.0,2725000.0
Norway,2009,3.7,4346000.0,0.2877037,8294000.0,2503000.0
Norway,2010,3.6,4767000.0,0.2873346,8463000.0,2723000.0
Norway,2011,3.7,4963000.0,0.28342384,9016000.0,2973000.0
Peru,2011,3.6,2598000.0,0.026554966,31052000.0,5707000.0
Peru,2012,3.6,2846000.0,0.026550269,35176000.0,7135000.0
Peru,2013,3.7,3164000.0,0.02654293,38438000.0,8134000.0
Peru,2014,3.8,3215000.0,0.026534261,39173000.0,7187000.0
Peru,2015,3.9,3456000.0,0.026526853,40545000.0,7375000.0
Peru,2016,3.9,3744000.0,0.026537998,42640000.0,7925000.0
Peru,2017,3.9,4032000.0,0.027598685,43996000.0,7854000.0
Peru,2018,3.9,4419000.0,0.026833178,47466000.0,7962000.0
Peru,2019,3.9,4372000.0,0.026823252,54897000.0,8265000.0
Peru,2020,1.5,897000.0,0.026915587,34589000.0,1779000.0
Peru,2021,1.7,444000.0,0.026096998,45715000.0,2056000.0
Poland,2008,2.1699307,12960000.0,0.41330424,9510000.0,3566000.0
Poland,2009,1.5881635,11890000.0,0.42908654,9592000.0,3394000.0
Poland,2010,1.5895287,12470000.0,0.37032968,10687000.0,3667000.0
Poland,2011,1.7824618,13350000.0,0.3920751,11765000.0,3907000.0
Poland,2012,2.1010299,14840000.0,0.3895131,11968000.0,4370000.0
Poland,2013,1.2985176,15800000.0,0.33333334,12696000.0,4687000.0
Poland,2015,1.1746076,16728000.0,0.32090968,15445000.0,5074000.0
Poland,2018,2.1,19622000.0,0.33482993,19283000.0,6251000.0
Poland,2019,2.2,21158000.0,0.31236818,20640000.0,6582000.0
Saudi Arabia,2019,3.6308815,17526000.0,0.2203607,31234000.0,14873000.0
Saudi Arabia,2020,1.6134167,4138000.0,0.22930901,25976000.0,3328000.0
Saudi Arabia,2021,2.6993418,3477000.0,0.41114402,36063000.0,2132000.0
Slovenia,2009,4.8822484,1824000.0,0.15443037,648000.0,1411000.0
Slovenia,2012,4.8543224,2377000.0,0.09560688,651000.0,1679000.0
Slovenia,2014,4.88984,2675000.0,0.09563401,650000.0,1860000.0
Slovenia,2015,4.940713,3022000.0,0.15926963,696000.0,2037000.0
Slovenia,2017,5.288913,3991000.0,0.15924937,779000.0,2537000.0
Slovenia,2019,5.396535,4702000.0,0.13511819,757000.0,2758000.0
Slovenia,2020,3.2748063,1216000.0,0.13515532,849000.0,640000.0
Spain,2016,6.5,75315000.0,0.08193641,49543000.0,50297000.0
Spain,2017,6.6,81869000.0,0.07492873,50453000.0,53334000.0
Spain,2018,6.7,82808000.0,0.073042415,51166000.0,54146000.0
Spain,2019,6.8,83509000.0,0.07897903,52734000.0,55982000.0
Spain,2020,5.4,18933000.0,0.090139106,23695000.0,10894000.0
Sweden,2011,2.611228,11567000.0,0.17144582,13414000.0,3370000.0
Sweden,2012,2.7430298,12372000.0,0.20875868,13638000.0,3360000.0
Sweden,2013,2.671468,10980000.0,0.21773201,14069000.0,3469000.0
Sweden,2014,2.626907,10522000.0,0.19046198,14646000.0,3768000.0
Thailand,2010,3.5633943,15936000.0,0.16576445,41555000.0,25548000.0
Thailand,2011,4.198749,19230000.0,0.11381408,52109000.0,34131000.0
Thailand,2012,4.72683,22354000.0,0.10778532,61401000.0,37385000.0
Thailand,2013,5.336111,26547000.0,0.09671236,71692000.0,45659000.0
Thailand,2017,7.4183803,35592000.0,0.048084456,102918000.0,56561000.0
Thailand,2018,7.4024935,38178000.0,0.056938387,107484000.0,59222000.0
Thailand,2019,7.371805,39916000.0,0.05395693,107864000.0,61250000.0
Thailand,2020,2.2497864,6725000.0,0.037295822,63034000.0,11640000.0
United Arab Emirates,2019,6.1,21561000.0,0.316654,8453000.0,18686000.0
United Arab Emirates,2020,3.9,7165000.0,0.41488004,8761000.0,6102100.0
United Arab Emirates,2021,6.2,11479000.0,0.41488573,10196000.0,9041000.0
United Kingdom,2008,3.4165876,30142000.0,0.3741866,46256000.0,14649000.0
United Kingdom,2009,3.4684625,29357000.0,0.31532827,48279000.0,14876000.0
United Kingdom,2010,3.3834832,28911000.0,0.33056116,46260000.0,15348000.0
United Kingdom,2011,3.6144369,30384000.0,0.34121308,41920000.0,16150000.0
United Kingdom,2012,3.722592,30411000.0,0.34652513,43120000.0,16066000.0
United Kingdom,2013,3.6835966,31946000.0,0.34964415,43160000.0,17377000.0
United Kingdom,2014,3.6095343,33604000.0,0.35230187,40470000.0,18220000.0
United Kingdom,2015,3.93745,35149000.0,0.35314453,41820000.0,18937000.0
United Kingdom,2016,3.4467204,37358000.0,0.34417725,42490000.0,19792000.0
United Kingdom,2017,3.4237223,39543000.0,0.303589,42510000.0,21833000.0
United Kingdom,2018,3.2381542,38664000.0,0.3027116,42040000.0,21704000.0
United Kingdom,2019,3.6493528,39418000.0,0.2934342,43490000.0,21697000.0
